procedure,script,article
Procedure for Start: Follow standard troubleshooting steps.,Script for Start: Hello! Let's check the issue with your internet. Start?,Article for Start: This step helps users resolve start related issues.
Procedure for Are modem lights on?: Follow standard troubleshooting steps.,Script for Are modem lights on?: Hello! Let's check the issue with your internet. Are modem lights on??,Article for Are modem lights on?: This step helps users resolve are modem lights on? related issues.
Procedure for Restart modem: Follow standard troubleshooting steps.,Script for Restart modem: Hello! Let's check the issue with your internet. Restart modem?,Article for Restart modem: This step helps users resolve restart modem related issues.
Procedure for Ask about Wi-Fi signal: Follow standard troubleshooting steps.,Script for Ask about Wi-Fi signal: Hello! Let's check the issue with your internet. Ask about Wi-Fi signal?,Article for Ask about Wi-Fi signal: This step helps users resolve ask about wi-fi signal related issues.
Procedure for Check cable connection: Follow standard troubleshooting steps.,Script for Check cable connection: Hello! Let's check the issue with your internet. Check cable connection?,Article for Check cable connection: This step helps users resolve check cable connection related issues.
Procedure for Guide user to plug/unplug: Follow standard troubleshooting steps.,Script for Guide user to plug/unplug: Hello! Let's check the issue with your internet. Guide user to plug/unplug?,Article for Guide user to plug/unplug: This step helps users resolve guide user to plug/unplug related issues.
Procedure for Escalate to technician: Follow standard troubleshooting steps.,Script for Escalate to technician: Hello! Let's check the issue with your internet. Escalate to technician?,Article for Escalate to technician: This step helps users resolve escalate to technician related issues.
Procedure for Close with confirmation: Follow standard troubleshooting steps.,Script for Close with confirmation: Hello! Let's check the issue with your internet. Close with confirmation?,Article for Close with confirmation: This step helps users resolve close with confirmation related issues.
Procedure for Offer callback: Follow standard troubleshooting steps.,Script for Offer callback: Hello! Let's check the issue with your internet. Offer callback?,Article for Offer callback: This step helps users resolve offer callback related issues.
Procedure for End: Follow standard troubleshooting steps.,Script for End: Hello! Let's check the issue with your internet. End?,Article for End: This step helps users resolve end related issues.
